Date,Price,Open,High,Low,Vol.,Change %
12/31/2024,"1,642.33","1,638.43","1,644.54","1,632.85",161.32M,0.28%
12/30/2024,"1,637.68","1,626.14","1,638.56","1,624.92",134.71M,0.59%
12/27/2024,"1,628.14","1,617.56","1,632.63","1,616.69",130.61M,0.89%
12/26/2024,"1,613.70","1,603.58","1,615.28","1,602.79",120.93M,0.67%
12/24/2024,"1,602.99","1,596.64","1,603.89","1,596.64",95.05M,0.43%
12/23/2024,"1,596.20","1,594.10","1,601.90","1,592.57",164.81M,0.30%
12/20/2024,"1,591.41","1,600.41","1,606.28","1,591.41",419.51M,-0.54%
12/19/2024,"1,600.09","1,595.18","1,600.73","1,590.83",310.88M,0.03%
12/18/2024,"1,599.58","1,597.33","1,602.38","1,594.75",145.11M,0.14%
12/17/2024,"1,597.33","1,605.26","1,606.81","1,594.51",179.74M,-0.59%
12/16/2024,"1,606.85","1,608.88","1,609.43","1,603.21",142.54M,-0.12%
12/13/2024,"1,608.75","1,603.86","1,611.98","1,603.74",145.12M,0.42%
12/12/2024,"1,602.08","1,601.83","1,605.95","1,597.12",160.85M,-0.07%
12/11/2024,"1,603.20","1,603.19","1,605.01","1,598.93",178.59M,-0.36%
12/10/2024,"1,608.97","1,612.65","1,615.93","1,607.88",182.56M,-0.15%
12/09/2024,"1,611.43","1,610.62","1,611.43","1,602.94",151.30M,-0.11%
12/06/2024,"1,613.25","1,615.85","1,617.57","1,611.25",219.30M,-0.15%
12/05/2024,"1,615.64","1,616.14","1,617.78","1,610.77",190.97M,0.10%
12/04/2024,"1,614.09","1,606.97","1,616.03","1,606.53",231.30M,0.44%
12/03/2024,"1,606.96","1,599.32","1,606.96","1,594.07",275.53M,0.72%
12/02/2024,"1,595.48","1,596.84","1,603.94","1,593.37",169.15M,0.07%
11/29/2024,"1,594.29","1,596.36","1,603.59","1,586.39",264.22M,-0.20%
11/28/2024,"1,597.49","1,606.32","1,608.01","1,597.49",186.83M,-0.42%
11/27/2024,"1,604.25","1,601.34","1,609.41","1,600.83",244.74M,0.07%
11/26/2024,"1,603.15","1,600.50","1,607.76","1,596.03",176.54M,0.36%
11/25/2024,"1,597.45","1,593.87","1,609.29","1,588.46",637.39M,0.48%
11/22/2024,"1,589.78","1,593.04","1,593.85","1,587.74",204.27M,0.07%
11/21/2024,"1,588.68","1,599.81","1,599.94","1,588.68",204.39M,-0.59%
11/20/2024,"1,598.18","1,602.88","1,606.28","1,594.51",185.77M,-0.26%
11/19/2024,"1,602.34","1,603.18","1,608.88","1,601.02",161.53M,-0.11%
11/18/2024,"1,604.04","1,592.91","1,605.41","1,591.49",173.93M,0.73%
11/15/2024,"1,592.44","1,601.43","1,604.51","1,592.44",256.53M,-0.51%
11/14/2024,"1,600.68","1,614.89","1,615.84","1,598.64",196.29M,-0.67%
11/13/2024,"1,611.50","1,608.61","1,611.54","1,602.71",137.17M,0.19%
11/12/2024,"1,608.43","1,610.02","1,615.96","1,605.43",188.48M,-0.05%
11/11/2024,"1,609.26","1,625.63","1,627.23","1,609.24",139.23M,-0.74%
11/08/2024,"1,621.24","1,627.62","1,627.62","1,621.24",124.92M,-0.13%
11/07/2024,"1,623.28","1,636.14","1,639.55","1,622.75",248.64M,-0.67%
11/06/2024,"1,634.17","1,624.41","1,634.17","1,623.52",186.22M,0.83%
11/05/2024,"1,620.70","1,618.20","1,620.70","1,613.91",165.30M,0.26%
11/04/2024,"1,616.43","1,607.75","1,616.43","1,607.75",149.14M,0.78%
11/01/2024,"1,603.98","1,591.06","1,607.04","1,589.27",200.51M,0.13%
10/30/2024,"1,601.88","1,614.90","1,615.36","1,601.45",258.09M,-0.82%
10/29/2024,"1,615.08","1,612.37","1,619.05","1,609.70",191.66M,0.29%
10/28/2024,"1,610.47","1,622.34","1,630.39","1,609.87",165.45M,-0.48%
10/25/2024,"1,618.30","1,633.02","1,635.28","1,617.60",187.85M,-0.85%
10/24/2024,"1,632.23","1,639.05","1,643.08","1,632.23",183.43M,-0.57%
10/23/2024,"1,641.53","1,644.21","1,645.90","1,641.53",157.10M,-0.06%
10/22/2024,"1,642.54","1,647.46","1,648.31","1,642.35",166.83M,-0.19%
10/21/2024,"1,645.68","1,646.71","1,648.05","1,642.52",130.42M,-0.02%
10/18/2024,"1,645.99","1,643.29","1,649.31","1,641.71",166.90M,0.28%
10/17/2024,"1,641.44","1,634.47","1,642.93","1,633.72",178.99M,0.54%
10/16/2024,"1,632.63","1,643.80","1,643.80","1,629.81",272.69M,-0.57%
10/15/2024,"1,641.97","1,638.56","1,643.64","1,636.89",274.15M,0.33%
10/14/2024,"1,636.54","1,637.17","1,642.56","1,632.37",208.72M,0.18%
10/11/2024,"1,633.55","1,635.79","1,643.07","1,631.89",301.97M,-0.45%
10/10/2024,"1,640.94","1,639.75","1,646.14","1,638.67",146.54M,0.37%
10/09/2024,"1,634.91","1,637.66","1,642.29","1,634.91",157.35M,-0.04%
10/08/2024,"1,635.62","1,631.63","1,638.87","1,629.22",217.85M,0.02%
10/07/2024,"1,635.29","1,633.58","1,637.29","1,628.12",204.28M,0.33%
10/04/2024,"1,629.97","1,638.49","1,639.29","1,625.35",207.71M,-0.71%
10/03/2024,"1,641.55","1,640.70","1,643.82","1,630.45",196.81M,0.14%
10/02/2024,"1,639.31","1,642.78","1,647.30","1,633.08",209.42M,-1.03%
10/01/2024,"1,656.39","1,647.42","1,657.32","1,643.11",175.52M,0.45%
09/30/2024,"1,648.91","1,661.89","1,661.89","1,647.28",279.91M,-0.67%
