Price,Open,High,Low,Vol.,Change %
1761.25,1759.76,1768.85,1755.93,140840000.0,-0.0032
1752.77,1757.15,1757.96,1741.45,63580000.0,-0.0048
1736.62,1758.43,1759.15,1734.51,98140000.0,-0.0092
1716.58,1730.94,1730.94,1708.78,146060000.0,-0.0115
1709.18,1714.7,1717.17,1706.18,171020000.0,-0.0043
1728.06,1714.4,1730.18,1714.02,121090000.0,0.011000000000000001
1732.44,1734.61,1738.54,1725.81,126250000.0,0.0025
1735.08,1730.1,1735.08,1718.76,95900000.0,0.0015
1748.9,1726.54,1750.16,1725.98,147550000.0,0.008
1742.01,1742.66,1744.71,1736.77,182000000.0,-0.0039000000000000003
1745.0,1747.54,1750.94,1738.24,182940000.0,0.0017000000000000001
1743.57,1740.19,1746.24,1732.35,153210000.0,-0.0008
1753.31,1745.5,1755.12,1745.5,130850000.0,0.005600000000000001
1750.11,1754.21,1754.34,1745.64,123140000.0,-0.0018
1770.09,1752.9,1770.09,1751.46,178470000.0,0.011399999999999999
1781.75,1767.74,1787.91,1763.68,218990000.0,0.0066
1803.08,1792.47,1809.33,1788.78,220330000.0,0.012
1796.44,1800.49,1801.06,1792.65,135440000.0,-0.0037
1803.17,1789.96,1810.21,1788.55,171840000.0,0.0037
1795.88,1794.76,1800.64,1790.02,160790000.0,-0.004
1782.18,1791.59,1794.82,1779.17,169140000.0,-0.0076
1781.26,1788.36,1789.39,1781.26,166390000.0,-0.0005
1803.02,1814.72,1831.41,1801.09,212030000.0,0.012199999999999999
1803.21,1803.79,1804.25,1796.41,146020000.0,0.0001
1813.25,1806.31,1814.3,1806.07,149330000.0,0.005600000000000001
1811.58,1815.62,1818.31,1805.16,121880000.0,-0.0009
1811.12,1812.74,1816.62,1808.69,148410000.0,-0.0003
1798.95,1810.98,1812.08,1790.8,142230000.0,-0.0067
1789.07,1790.69,1791.0,1780.21,180660000.0,-0.0055000000000000005
1800.95,1791.68,1800.95,1790.31,149300000.0,0.0066
1808.89,1804.94,1809.71,1800.24,139720000.0,0.0044
1810.09,1808.41,1810.9,1804.52,83600000.0,0.0007000000000000001
1807.87,1806.54,1815.95,1806.17,64910000.0,-0.0012
1809.39,1811.01,1812.75,1804.95,125840000.0,0.0008
1818.68,1812.01,1819.24,1812.01,146630000.0,0.0051
1815.86,1818.22,1818.35,1808.65,143940000.0,-0.0016
1820.87,1813.88,1821.67,1812.9,120980000.0,0.0028000000000000004
1821.21,1822.27,1825.65,1811.74,191170000.0,0.0002
1817.13,1822.91,1825.33,1812.35,139430000.0,-0.0022
1821.25,1820.43,1825.79,1817.94,154350000.0,0.0023
1825.54,1825.66,1826.05,1819.18,146220000.0,0.0024
1806.09,1819.66,1819.67,1805.8,207280000.0,-0.010700000000000001
1806.96,1804.86,1809.65,1799.8,166420000.0,0.0005
1791.74,1790.59,1795.76,1778.99,158050000.0,-0.0084
1789.73,1794.82,1799.05,1789.73,159460000.0,-0.0011
1778.16,1783.47,1787.23,1774.97,153240000.0,-0.006500000000000001
1786.87,1780.75,1789.92,1780.65,130340000.0,0.0049
1781.75,1784.98,1789.36,1781.75,93210000.0,-0.0029
1780.54,1777.28,1787.29,1774.3,105700000.0,-0.0007000000000000001
1787.87,1779.96,1789.4,1779.96,97690000.0,0.0040999999999999995
1797.57,1790.32,1800.83,1787.77,119160000.0,0.0054
1809.13,1798.22,1815.71,1798.03,112840000.0,0.0064
1803.65,1803.56,1806.9,1798.74,212710000.0,-0.003
1795.85,1801.23,1811.08,1795.85,106400000.0,-0.0043
1814.04,1798.82,1814.54,1798.24,120970000.0,0.0101
1819.1,1812.43,1823.19,1812.18,127630000.0,0.0028000000000000004
1818.42,1816.85,1820.52,1815.41,102230000.0,-0.0004
1813.37,1815.15,1818.31,1813.3,121890000.0,-0.0028000000000000004
1821.83,1815.52,1825.76,1815.02,100400000.0,0.004699999999999999
1830.78,1828.88,1832.85,1825.3,171970000.0,0.0049
1826.31,1831.35,1831.35,1823.61,85900000.0,-0.0024
1831.97,1827.66,1832.37,1826.28,127530000.0,0.0031
1834.52,1831.34,1836.82,1829.74,68530000.0,0.0014000000000000002
1842.94,1838.3,1844.83,1837.51,92500000.0,0.0046
1856.51,1843.18,1856.51,1843.18,125140000.0,0.0074
1850.31,1852.49,1853.21,1848.0,109970000.0,-0.0033
1849.39,1848.43,1849.77,1843.99,100660000.0,-0.0005
1844.31,1846.85,1849.78,1840.77,100940000.0,-0.0027
1842.08,1842.89,1847.5,1840.91,102580000.0,-0.0012
1839.61,1845.51,1846.31,1837.25,124340000.0,-0.0013
1840.13,1837.46,1846.06,1836.37,160920000.0,0.0003
1847.94,1842.04,1849.22,1838.27,137170000.0,0.0042
1845.86,1848.09,1852.95,1845.09,128680000.0,-0.0011
1848.66,1844.25,1848.97,1841.1,100540000.0,0.0015
1862.8,1850.71,1862.8,1850.35,132570000.0,0.0076
1854.77,1863.61,1863.61,1853.72,105380000.0,-0.0043
1846.08,1848.29,1855.7,1846.08,82950000.0,-0.004699999999999999
1862.58,1852.99,1862.58,1849.71,119180000.0,0.0089
1859.58,1864.69,1867.53,1859.18,118220000.0,-0.0016
1855.06,1861.59,1862.14,1850.04,115760000.0,-0.0024
1842.93,1855.1,1855.46,1842.84,131630000.0,-0.006500000000000001
1818.27,1840.29,1841.06,1818.27,166930000.0,-0.0134
1827.42,1830.32,1830.9,1818.16,140910000.0,0.005
1820.97,1824.21,1824.21,1813.01,121860000.0,-0.0034999999999999996
1805.1,1808.32,1818.79,1805.1,145010000.0,-0.0087
1807.65,1806.32,1814.28,1805.35,133490000.00000001,0.0014000000000000002
1805.49,1809.22,1814.24,1803.57,96730000.0,-0.0012
1798.61,1798.64,1802.54,1797.01,107580000.0,-0.0038
1803.02,1801.08,1803.68,1795.16,133710000.00000001,0.0025
1807.55,1806.12,1807.9,1803.63,113680000.0,0.0025
1811.92,1806.61,1811.92,1802.05,58750000.0,0.0024
1823.5,1813.52,1823.5,1808.79,84140000.0,0.0064
1809.72,1819.02,1819.58,1808.07,96220000.0,-0.0076
1810.11,1812.07,1812.59,1807.95,108880000.0,0.0002
1795.04,1810.37,1810.71,1793.34,147580000.0,-0.0083
1787.5,1798.33,1798.46,1780.11,140990000.0,-0.0042
1767.38,1787.02,1787.64,1764.63,104990000.0,-0.0113
1764.07,1767.04,1776.07,1755.09,134670000.0,-0.0019
1755.05,1758.35,1758.35,1749.78,168820000.0,-0.0051
1755.56,1757.91,1759.43,1750.72,125710000.0,0.0003
1747.52,1751.35,1755.82,1746.06,262310000.0,-0.0046
1743.41,1751.82,1752.08,1732.27,133250000.0,-0.0024
1741.37,1743.48,1746.49,1736.57,151630000.0,-0.0012
1749.17,1748.59,1750.68,1743.12,144370000.0,0.0045000000000000005
1741.48,1742.02,1749.2,1739.92,118080000.0,-0.0044
1745.33,1743.16,1746.28,1737.88,80460000.0,0.0022
1739.45,1736.07,1741.11,1727.01,89290000.0,-0.0034000000000000002
1729.05,1737.53,1738.76,1729.05,97210000.0,-0.006
1735.63,1730.94,1739.48,1730.75,112150000.0,0.0038
1734.76,1744.77,1744.77,1733.17,124070000.0,-0.0005
1734.37,1740.99,1740.99,1732.59,76910000.0,-0.0002
1722.16,1733.28,1734.4,1722.16,130470000.0,-0.006999999999999999
1722.24,1721.16,1726.78,1718.44,94520000.0,0.0
1726.86,1722.71,1728.06,1721.23,110500000.0,0.0027
1718.12,1725.28,1727.3,1714.22,121530000.0,-0.0051
1721.77,1718.71,1726.98,1715.83,188860000.0,0.0021
1732.76,1721.62,1735.9,1720.84,117640000.0,0.0064
1726.86,1734.56,1734.97,1726.86,108240000.0,-0.0034000000000000002
1731.68,1727.59,1731.68,1724.47,114320000.0,0.0028000000000000004
1716.81,1729.58,1729.64,1716.81,139050000.0,-0.0086
1710.47,1716.64,1716.64,1709.87,86630000.0,-0.0037
1691.92,1709.35,1709.35,1688.44,115420000.0,-0.0108
1706.64,1695.36,1708.38,1691.03,176330000.0,0.0087
1727.96,1709.77,1737.67,1709.77,147510000.0,0.0125
1733.88,1729.56,1738.67,1728.43,130509999.99999999,0.0034000000000000002
1734.24,1737.23,1738.09,1724.5,84750000.0,0.0002
1717.05,1728.43,1728.43,1706.6,94610000.0,-0.009899999999999999
1712.3,1714.27,1718.03,1708.64,112750000.0,-0.0028000000000000004
1695.83,1706.47,1706.7,1693.35,136700000.0,-0.0096
1701.54,1687.26,1704.88,1685.03,107190000.0,0.0034000000000000002
1715.58,1698.26,1720.82,1698.26,86080000.0,0.0083
1716.11,1710.75,1718.39,1707.0,71730000.0,0.0003
1721.1,1720.06,1727.07,1720.06,94680000.0,0.0029
1727.26,1723.01,1727.26,1722.13,131820000.0,0.0036
1726.73,1722.04,1727.5,1720.7,76720000.0,-0.0003
1724.13,1733.29,1735.75,1720.02,91840000.0,-0.0015
1736.19,1725.43,1736.19,1722.61,88920000.0,0.006999999999999999
1729.53,1731.12,1732.54,1725.52,114840000.0,-0.0038
1722.44,1729.57,1731.18,1722.44,80960000.0,-0.0040999999999999995
1720.76,1720.01,1721.45,1712.49,76680000.0,-0.001
1709.76,1710.97,1718.6,1709.76,79480000.0,-0.0064
1699.7,1708.62,1713.06,1699.7,136920000.0,-0.0059
1698.99,1699.6,1702.36,1696.72,121790000.0,-0.0004
1699.92,1696.74,1706.26,1695.66,89300000.0,0.0005
1723.14,1701.31,1723.14,1701.31,135590000.0,0.0137
